,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
0,1610612737,Atlanta Hawks,28,14,14,0.5,1344.0,111.8,113.0,109.0,110.6,2.8,2.4,0.579,1.94,17.6,0.27,0.74,0.509,0.125,0.535,0.57,99.9,98.59,82.16,2759,0.514,18,15,12,13,25,3,23,9,22,3,10,14,7,7,1,7,6,18,8,10,Atlanta Hawks
1,1610612738,Boston Celtics,28,14,14,0.5,1374.0,106.6,107.9,105.4,107.1,1.2,0.8,0.582,1.65,16.8,0.267,0.737,0.502,0.138,0.512,0.552,99.4,98.03,81.69,2811,0.511,18,15,12,13,18,21,10,13,21,17,23,17,9,10,10,24,19,20,12,10,Boston Celtics
2,1610612751,Brooklyn Nets,29,21,8,0.724,1397.0,108.6,110.1,103.8,106.4,4.8,3.8,0.626,1.8,18.5,0.248,0.722,0.498,0.141,0.534,0.573,101.7,99.78,83.15,2904,0.533,8,3,4,4,13,8,6,6,7,8,7,26,22,14,17,9,3,8,4,10,Brooklyn Nets
3,1610612766,Charlotte Hornets,30,16,14,0.533,1460.0,111.4,113.6,112.0,114.0,-0.6,-0.4,0.617,2.04,18.7,0.265,0.702,0.478,0.128,0.543,0.569,102.4,100.54,83.78,3053,0.492,2,10,12,12,2,2,30,17,9,2,5,18,27,28,3,3,7,3,19,10,Charlotte Hornets
4,1610612741,Chicago Bulls,27,17,10,0.63,1296.0,107.9,109.6,104.6,106.8,3.3,2.8,0.575,1.73,17.4,0.244,0.729,0.49,0.136,0.528,0.565,100.7,98.91,82.42,2668,0.511,26,8,5,6,28,13,8,8,23,11,13,28,19,24,7,12,10,15,11,10,Chicago Bulls
5,1610612739,Cleveland Cavaliers,30,18,12,0.6,1440.0,106.9,108.9,101.9,103.6,5.0,5.3,0.637,1.58,18.4,0.271,0.731,0.509,0.161,0.534,0.568,99.6,97.9,81.58,2936,0.528,2,6,8,8,7,16,2,4,4,21,8,13,16,9,29,10,8,22,5,10,Cleveland Cavaliers
6,1610612742,Dallas Mavericks,28,14,14,0.5,1354.0,106.2,107.9,106.0,108.2,0.2,-0.2,0.582,1.86,17.1,0.257,0.734,0.49,0.126,0.514,0.543,97.8,95.98,79.99,2708,0.489,18,15,12,13,20,20,13,16,20,6,17,22,14,23,2,23,24,29,20,10,Dallas Mavericks
7,1610612743,Denver Nuggets,28,14,14,0.5,1349.0,106.9,109.1,108.0,109.7,-1.1,-0.7,0.636,1.89,19.0,0.251,0.744,0.496,0.139,0.536,0.563,98.3,96.57,80.47,2718,0.5,18,15,12,13,21,15,20,20,5,4,3,24,5,20,11,6,11,25,16,10,Denver Nuggets
8,1610612765,Detroit Pistons,27,4,23,0.148,1301.0,98.6,100.9,108.7,110.6,-10.1,-9.7,0.595,1.4,15.9,0.263,0.72,0.477,0.153,0.476,0.518,100.9,98.95,82.46,2681,0.434,26,30,29,30,26,29,22,29,12,29,28,19,23,30,23,30,29,14,30,10,Detroit Pistons
9,1610612744,Golden State Warriors,28,23,5,0.821,1349.0,110.0,111.8,98.3,100.2,11.7,11.6,0.692,1.76,19.9,0.274,0.756,0.525,0.16,0.557,0.586,101.4,99.65,83.04,2800,0.572,18,1,1,1,21,4,1,1,1,10,1,10,1,2,28,2,2,9,1,10,Golden State Warriors
10,1610612745,Houston Rockets,29,9,20,0.31,1397.0,102.2,104.9,109.9,111.6,-7.6,-6.7,0.611,1.33,16.9,0.269,0.723,0.497,0.173,0.523,0.554,103.0,100.84,84.04,2932,0.463,8,26,27,26,13,27,26,27,10,30,21,15,21,16,30,17,18,2,27,10,Houston Rockets
11,1610612754,Indiana Pacers,31,13,18,0.419,1503.0,107.2,109.6,106.7,108.5,0.5,1.1,0.583,1.68,17.4,0.294,0.745,0.519,0.143,0.525,0.557,99.2,97.31,81.09,3053,0.509,1,19,24,22,1,11,14,11,19,15,14,6,4,4,18,13,15,23,13,10,Indiana Pacers
12,1610612746,LA Clippers,29,16,13,0.552,1397.0,104.6,106.3,103.3,105.3,1.3,1.0,0.583,1.53,17.0,0.251,0.725,0.493,0.15,0.524,0.556,101.2,99.38,82.82,2895,0.508,8,10,10,10,13,25,4,12,18,25,19,23,20,22,21,14,16,11,14,10,LA Clippers
13,1610612747,Los Angeles Lakers,29,16,13,0.552,1432.0,105.4,107.0,104.8,107.2,0.6,-0.2,0.585,1.53,17.3,0.259,0.719,0.497,0.153,0.532,0.56,102.8,100.86,84.05,3010,0.506,8,10,10,10,8,23,11,15,16,24,15,20,24,19,24,11,12,1,15,10,Los Angeles Lakers
14,1610612763,Memphis Grizzlies,29,18,11,0.621,1402.0,108.8,111.1,106.9,109.3,1.9,1.8,0.607,1.84,17.9,0.321,0.735,0.522,0.138,0.52,0.55,101.3,99.1,82.58,2898,0.513,8,6,6,7,10,5,17,10,11,7,9,2,13,3,9,20,22,12,9,10,Memphis Grizzlies
15,1610612748,Miami Heat,29,17,12,0.586,1402.0,108.6,110.2,104.6,107.0,4.0,3.1,0.644,1.69,18.6,0.285,0.737,0.515,0.154,0.537,0.571,98.1,96.33,80.27,2815,0.524,8,8,8,9,10,7,9,7,3,14,6,8,10,6,25,5,4,27,6,10,Miami Heat
16,1610612749,Milwaukee Bucks,30,19,11,0.633,1445.0,108.8,110.6,104.8,106.7,4.0,4.0,0.568,1.59,16.8,0.272,0.737,0.509,0.144,0.535,0.565,101.3,99.62,83.02,3000,0.522,2,5,6,5,5,6,7,5,25,19,22,11,8,8,19,8,9,10,7,10,Milwaukee Bucks
17,1610612750,Minnesota Timberwolves,28,13,15,0.464,1359.0,104.8,107.2,106.1,107.7,-1.3,-0.5,0.587,1.47,16.4,0.304,0.691,0.488,0.154,0.506,0.539,102.2,100.31,83.59,2838,0.475,18,19,17,19,19,22,12,19,15,26,24,4,30,26,26,25,25,5,25,10,Minnesota Timberwolves
18,1610612740,New Orleans Pelicans,30,9,21,0.3,1445.0,103.4,106.1,110.6,111.6,-7.2,-5.5,0.629,1.61,17.6,0.308,0.75,0.519,0.153,0.495,0.532,99.6,97.94,81.62,2942,0.47,2,26,28,27,5,26,25,26,6,18,11,3,2,5,22,27,26,21,26,10,New Orleans Pelicans
19,1610612752,New York Knicks,29,13,16,0.448,1402.0,107.0,108.9,107.8,110.7,-0.8,-1.9,0.568,1.57,16.2,0.284,0.718,0.501,0.141,0.514,0.551,98.4,96.31,80.26,2819,0.484,8,19,21,21,10,17,24,22,26,22,26,9,25,11,16,22,21,28,22,10,New York Knicks
20,1610612760,Oklahoma City Thunder,27,8,19,0.296,1296.0,98.0,100.1,108.1,109.6,-10.1,-9.4,0.557,1.46,15.3,0.249,0.737,0.486,0.14,0.477,0.51,100.6,98.85,82.38,2668,0.439,26,28,26,28,28,30,18,28,27,27,30,25,11,27,15,29,30,16,28,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,29,5,24,0.172,1392.0,99.4,102.4,110.7,112.8,-11.4,-10.5,0.591,1.42,16.2,0.272,0.73,0.495,0.156,0.491,0.525,101.4,99.0,82.5,2869,0.435,8,29,30,29,17,28,29,30,13,28,25,12,17,21,27,28,28,13,29,10,Orlando Magic
22,1610612755,Philadelphia 76ers,30,15,15,0.5,1455.0,107.0,109.1,107.8,109.9,-0.7,-0.9,0.574,1.79,17.2,0.233,0.716,0.478,0.129,0.522,0.56,97.8,95.93,79.94,2905,0.498,2,13,17,13,4,14,21,21,24,9,16,30,26,29,4,18,13,30,17,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,28,23,5,0.821,1349.0,108.9,109.9,101.5,103.7,7.5,6.3,0.619,1.88,18.8,0.247,0.732,0.499,0.137,0.538,0.57,102.1,100.54,83.78,2828,0.548,18,1,1,1,21,9,3,3,8,5,4,27,15,12,8,4,5,4,3,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,29,11,18,0.379,1397.0,107.3,108.8,110.4,112.4,-3.1,-3.5,0.584,1.66,17.0,0.259,0.749,0.499,0.14,0.524,0.558,100.4,98.78,82.32,2879,0.482,8,24,24,24,13,18,27,25,17,16,18,21,3,13,14,15,14,17,23,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,29,12,17,0.414,1407.0,107.0,109.8,109.8,112.4,-2.8,-2.6,0.543,1.58,16.2,0.285,0.696,0.49,0.139,0.518,0.551,102.8,100.28,83.57,2936,0.48,8,23,22,23,9,10,28,23,29,20,27,7,28,25,12,21,20,6,24,10,Sacramento Kings
26,1610612759,San Antonio Spurs,27,10,17,0.37,1301.0,106.2,108.7,107.3,109.1,-1.0,-0.4,0.653,2.14,19.8,0.269,0.729,0.497,0.131,0.523,0.546,101.8,99.86,83.21,2703,0.512,26,25,22,25,26,19,16,18,2,1,2,16,18,18,6,16,23,7,10,10,San Antonio Spurs
27,1610612761,Toronto Raptors,28,13,15,0.464,1349.0,106.9,109.6,106.8,108.9,0.1,0.7,0.535,1.71,15.8,0.322,0.693,0.498,0.13,0.501,0.532,98.6,96.34,80.28,2706,0.487,18,19,17,19,21,12,15,14,30,12,29,1,29,15,5,26,27,26,21,10,Toronto Raptors
28,1610612762,Utah Jazz,27,20,7,0.741,1296.0,115.4,117.7,103.5,106.1,12.0,11.6,0.546,1.56,16.9,0.295,0.74,0.53,0.149,0.574,0.604,100.4,98.2,81.84,2653,0.559,26,4,3,3,28,1,5,2,28,23,20,5,6,1,20,1,1,19,2,10,Utah Jazz
29,1610612764,Washington Wizards,30,15,15,0.5,1460.0,105.6,107.0,108.2,109.7,-2.6,-2.8,0.589,1.7,17.6,0.243,0.737,0.497,0.14,0.521,0.555,98.6,97.3,81.08,2958,0.494,2,13,17,13,2,24,19,24,14,13,12,29,12,17,13,19,17,24,18,10,Washington Wizards
