,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS
0,1610612737,Atlanta Hawks,28,14,14,0.5,48.0,110.6,35.5,0.74,6.9,4.5,15.6,12.3,12.3,47.0,18,15,12,13,25,23,8,7,27,24,9,10,21,20,10,Atlanta Hawks
1,1610612738,Boston Celtics,28,14,14,0.5,49.1,107.1,35.4,0.737,7.5,5.5,16.0,12.1,11.5,43.7,18,15,12,13,2,10,9,9,17,7,15,7,10,7,10,Boston Celtics
2,1610612751,Brooklyn Nets,29,21,8,0.724,48.2,106.4,36.4,0.722,6.7,5.2,17.8,12.8,14.7,45.6,8,3,4,4,19,6,5,22,28,10,25,16,27,14,10,Brooklyn Nets
3,1610612766,Charlotte Hornets,30,16,14,0.533,48.7,114.0,32.8,0.702,8.6,5.3,15.7,15.5,14.0,48.6,2,10,12,12,3,30,27,27,7,8,10,29,26,28,10,Charlotte Hornets
4,1610612741,Chicago Bulls,27,17,10,0.63,48.0,106.8,34.2,0.729,7.8,4.7,15.7,12.5,10.7,44.0,26,8,5,6,25,8,18,19,12,21,11,12,5,8,10,Chicago Bulls
5,1610612739,Cleveland Cavaliers,30,18,12,0.6,48.0,103.6,35.1,0.731,7.5,4.5,18.1,11.8,12.1,46.5,2,6,8,8,25,2,12,16,15,23,28,4,16,17,10,Cleveland Cavaliers
6,1610612742,Dallas Mavericks,28,14,14,0.5,48.4,108.2,33.9,0.734,7.0,4.1,13.6,13.3,12.1,45.2,18,15,12,13,9,13,24,14,25,26,1,22,17,13,10,Dallas Mavericks
7,1610612743,Denver Nuggets,28,14,14,0.5,48.2,109.7,33.8,0.744,7.4,3.9,15.9,10.3,12.0,47.9,18,15,12,13,15,20,25,5,18,28,13,1,15,24,10,Denver Nuggets
8,1610612765,Detroit Pistons,27,4,23,0.148,48.2,110.6,31.7,0.72,8.1,4.9,18.2,12.3,11.7,47.2,26,30,29,30,13,22,29,23,9,15,29,9,11,21,10,Detroit Pistons
9,1610612744,Golden State Warriors,28,23,5,0.821,48.2,100.2,37.2,0.756,9.4,4.8,16.9,11.5,11.0,40.7,18,1,1,1,15,1,1,1,2,18,20,2,6,2,10,Golden State Warriors
10,1610612745,Houston Rockets,29,9,20,0.31,48.2,111.6,34.1,0.723,7.2,5.0,22.3,13.8,15.1,47.4,8,26,27,26,19,26,19,21,23,13,30,26,29,22,10,Houston Rockets
11,1610612754,Indiana Pacers,31,13,18,0.419,48.5,108.5,34.8,0.745,7.2,6.0,16.2,13.5,12.3,48.4,1,19,24,22,8,14,13,4,24,1,17,23,20,26,10,Indiana Pacers
12,1610612746,LA Clippers,29,16,13,0.552,48.2,105.3,35.1,0.725,7.9,4.5,17.6,13.2,13.2,48.3,8,10,10,10,19,4,11,20,11,22,24,21,23,25,10,LA Clippers
13,1610612747,Los Angeles Lakers,29,16,13,0.552,49.4,107.2,36.6,0.719,8.7,5.7,16.9,13.7,13.7,48.4,8,10,10,10,1,11,3,24,6,4,19,25,25,27,10,Los Angeles Lakers
14,1610612763,Memphis Grizzlies,29,18,11,0.621,48.3,109.3,34.7,0.735,10.3,6.0,16.0,11.9,13.5,44.7,8,6,6,7,10,17,15,13,1,1,14,6,24,12,10,Memphis Grizzlies
15,1610612748,Miami Heat,29,17,12,0.586,48.3,107.0,33.9,0.737,7.3,3.1,16.9,12.7,12.2,39.5,8,8,8,9,10,9,23,10,20,30,21,14,18,1,10,Miami Heat
16,1610612749,Milwaukee Bucks,30,19,11,0.633,48.2,106.7,36.7,0.737,7.7,4.4,15.0,12.2,11.1,42.0,2,5,6,5,23,7,2,8,14,25,5,8,7,3,10,Milwaukee Bucks
17,1610612750,Minnesota Timberwolves,28,13,15,0.464,48.5,107.7,32.2,0.691,8.9,5.7,18.0,13.6,14.9,44.1,18,19,17,19,5,12,28,30,4,5,26,24,28,9,10,Minnesota Timberwolves
18,1610612740,New Orleans Pelicans,30,9,21,0.3,48.2,111.6,34.1,0.75,7.5,4.1,17.1,11.8,11.8,46.1,2,26,28,27,23,25,20,2,16,27,22,3,12,16,10,New Orleans Pelicans
19,1610612752,New York Knicks,29,13,16,0.448,48.3,110.7,34.0,0.718,7.0,5.5,14.5,12.4,12.2,42.2,8,19,21,21,10,24,22,25,25,6,3,11,19,4,10,New York Knicks
20,1610612760,Oklahoma City Thunder,27,8,19,0.296,48.0,109.6,35.6,0.737,7.3,4.9,16.1,12.6,8.9,44.2,26,28,26,28,25,18,7,11,22,15,16,13,2,10,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,29,5,24,0.172,48.0,112.8,34.7,0.73,6.4,4.7,16.4,13.2,11.1,43.2,8,29,30,29,25,29,16,17,29,19,18,20,8,6,10,Orlando Magic
22,1610612755,Philadelphia 76ers,30,15,15,0.5,48.5,109.9,33.6,0.716,7.9,5.9,14.4,14.4,15.2,45.7,2,13,17,13,7,21,26,26,10,3,2,27,30,15,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,28,23,5,0.821,48.2,103.7,36.1,0.732,8.8,3.9,15.1,13.1,12.0,44.4,18,1,1,1,15,3,6,15,5,28,7,18,13,11,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,29,11,18,0.379,48.2,112.4,34.1,0.749,7.7,4.7,15.8,11.9,12.0,46.6,8,24,24,24,19,27,21,3,13,19,12,5,14,18,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,29,12,17,0.414,48.5,112.4,34.2,0.696,7.3,4.9,18.0,15.8,12.5,52.8,8,23,22,23,6,28,17,28,20,14,27,30,22,30,10,Sacramento Kings
26,1610612759,San Antonio Spurs,27,10,17,0.37,48.2,109.1,34.7,0.729,8.3,5.0,15.1,12.9,10.4,47.4,26,25,22,25,13,16,14,18,8,12,6,17,3,23,10,San Antonio Spurs
27,1610612761,Toronto Raptors,28,13,15,0.464,48.2,108.9,31.5,0.693,9.0,4.8,14.6,15.3,10.6,43.0,18,19,17,19,15,15,30,29,3,17,4,28,4,5,10,Toronto Raptors
28,1610612762,Utah Jazz,27,20,7,0.741,48.0,106.1,36.5,0.74,7.4,5.3,17.2,13.2,11.4,46.7,26,4,3,3,25,5,4,6,19,9,23,19,9,19,10,Utah Jazz
29,1610612764,Washington Wizards,30,15,15,0.5,48.7,109.7,35.3,0.737,6.4,5.1,15.3,12.7,8.4,49.2,2,13,17,13,3,19,10,12,30,11,8,15,1,29,10,Washington Wizards
