,,,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,,Shooting,Shooting,Shooting,,Per Game,Per Game,Per Game,Per Game
Year,Age,Team,Lg,Round,W/L,Opp,,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,MP,PTS,TRB,AST
1999,23,MIL,1999,EC1,L (0-3),IND,,3,0,3,120,25,47,9,19,8,13,8,22,13,3,1,11,9,67,,.532,.474,.615,,40.1,22.3,7.3,4.3
2000,24,MIL,2000,EC1,L (2-3),IND,,5,2,3,187,40,90,10,26,20,22,10,33,13,8,0,9,10,110,,.444,.385,.909,,37.4,22.0,6.6,2.6
2001,25,MIL,2001,EC1,W (3-1),ORL,,4,3,1,168,33,60,8,14,24,26,5,23,21,10,2,4,5,98,,.550,.571,.923,,42.1,24.5,5.8,5.3
2001,25,MIL,2001,ECS,W (4-3),CHH,,7,4,3,306,59,130,21,50,25,29,8,28,49,8,4,24,18,164,,.454,.420,.862,,43.7,23.4,4.0,7.0
2001,25,MIL,2001,ECF,L (3-4),PHI,,7,3,4,294,66,141,28,55,30,31,6,23,38,6,4,15,20,190,,.468,.509,.968,,42.0,27.1,3.3,5.4
2005,29,SEA,2005,WC1,W (4-1),SAC,,5,4,1,210,55,107,19,42,33,34,5,23,26,10,3,13,6,162,,.514,.452,.971,,42.1,32.4,4.6,5.2
2005,29,SEA,2005,WCS,L (2-4),SAS,,6,2,4,225,47,108,12,40,23,29,7,24,17,4,1,21,16,129,,.435,.300,.793,,37.5,21.5,4.0,2.8
2008,32,BOS,2008,EC1,W (4-3),ATL,,7,4,3,265,42,100,18,45,11,11,7,24,22,5,2,6,16,113,,.420,.400,1.000,,37.8,16.1,3.4,3.1
2008,32,BOS,2008,ECS,W (4-3),CLE,,7,4,3,262,20,61,4,24,21,22,5,23,16,6,2,11,14,65,,.328,.167,.955,,37.4,9.3,3.3,2.3
2008,32,BOS,2008,ECF,W (4-2),DET,,6,4,2,215,34,77,11,28,26,29,5,21,18,5,0,10,17,105,,.442,.393,.897,,35.9,17.5,3.5,3.0
2008,32,BOS,2008,FIN,W (4-2),LAL,,6,4,2,246,37,73,22,42,26,30,8,30,15,8,4,11,16,122,,.507,.524,.867,,41.0,20.3,5.0,2.5
2009,33,BOS,2009,EC1,W (4-3),CHI,,7,4,3,280,51,113,27,58,35,38,5,22,15,11,5,10,22,164,,.451,.466,.921,,40.0,23.4,3.1,2.1
2009,33,BOS,2009,ECS,L (3-4),ORL,,7,3,4,285,32,93,8,42,20,20,8,33,22,4,0,15,13,92,,.344,.190,1.000,,40.7,13.1,4.7,3.1
2010,34,BOS,2010,EC1,W (4-1),MIA,,5,4,1,177,33,63,19,36,12,17,2,13,17,5,0,9,18,97,,.524,.528,.706,,35.3,19.4,2.6,3.4
2010,34,BOS,2010,ECS,W (4-2),CLE,,6,4,2,231,34,80,12,37,14,15,4,20,14,6,2,8,17,94,,.425,.324,.933,,38.5,15.7,3.3,2.3
2010,34,BOS,2010,ECF,W (4-2),ORL,,6,4,2,241,31,71,13,31,19,23,2,28,20,6,1,7,16,94,,.437,.419,.826,,40.2,15.7,4.7,3.3
2010,34,BOS,2010,FIN,L (3-4),LAL,,7,3,4,276,33,90,12,41,24,25,4,19,12,5,0,12,23,102,,.367,.293,.960,,39.4,14.6,2.7,1.7
2011,35,BOS,2011,EC1,W (4-0),NYK,,4,4,0,160,31,54,17,26,9,9,2,18,9,6,1,5,7,88,,.574,.654,1.000,,39.9,22.0,4.5,2.3
2011,35,BOS,2011,ECS,L (1-4),MIA,,5,1,4,202,26,55,15,30,15,16,3,16,13,5,0,5,14,82,,.473,.500,.938,,40.4,16.4,3.2,2.6
2012,36,BOS,2012,EC1,W (4-2),ATL,,4,3,1,112,17,38,5,18,8,14,2,18,8,4,0,2,8,47,,.447,.278,.571,,28.1,11.8,4.5,2.0
2012,36,BOS,2012,ECS,W (4-3),PHI,,7,4,3,223,23,60,9,34,7,9,3,26,5,5,0,8,16,62,,.383,.265,.778,,31.9,8.9,3.7,0.7
2012,36,BOS,2012,ECF,L (3-4),MIA,,7,3,4,281,26,69,14,40,17,22,3,30,5,8,2,7,17,83,,.377,.350,.773,,40.1,11.9,4.3,0.7
2013,37,MIA,2013,EC1,W (4-0),MIL,,4,4,0,115,21,45,13,28,11,11,5,17,9,4,0,5,5,66,,.467,.464,1.000,,28.9,16.5,4.3,2.3
2013,37,MIA,2013,ECS,W (4-1),CHI,,5,4,1,107,12,29,4,17,16,18,1,9,4,3,2,6,8,44,,.414,.235,.889,,21.5,8.8,1.8,0.8
2013,37,MIA,2013,ECF,W (4-3),IND,,7,4,3,158,16,52,10,29,8,12,5,22,5,4,1,7,11,50,,.308,.345,.667,,22.6,7.1,3.1,0.7
2013,37,MIA,2013,FIN,W (4-3),SAS,,7,4,3,193,25,46,12,22,12,13,2,16,11,1,0,9,18,74,,.543,.545,.923,,27.5,10.6,2.3,1.6
2014,38,MIA,2014,EC1,W (4-0),CHA,,4,4,0,81,5,19,3,11,0,0,1,11,6,2,0,6,7,13,,.263,.273,,,20.2,3.3,2.8,1.5
2014,38,MIA,2014,ECS,W (4-1),BRK,,5,4,1,134,20,41,9,25,16,17,6,24,9,2,1,4,10,65,,.488,.360,.941,,26.9,13.0,4.8,1.8
2014,38,MIA,2014,ECF,W (4-2),IND,,6,4,2,157,17,42,12,27,12,13,1,17,8,2,2,6,10,58,,.405,.444,.923,,26.2,9.7,2.8,1.3
2014,38,MIA,2014,FIN,L (1-4),SAS,,5,1,4,155,17,41,9,22,6,7,5,15,9,8,1,8,14,49,,.415,.409,.857,,31.0,9.8,3.0,1.8